id;nombre_destino;precio
1;Lima, Perú;150.00
2;París, Francia;1200.00
3;Nueva York, Estados Unidos;1100.00
4;Roma, Italia;1000.00
5;Tokio, Japón;1600.00
6;Sídney, Australia;1500.00
7;Londres, Reino Unido;1300.00
8;Madrid, España;1200.00
9;Río de Janeiro, Brasil;800.00
10;Ciudad de México, México;700.00
11;Toronto, Canadá;1400.00
12;Atenas, Grecia;1100.00
13;Bangkok, Tailandia;1600.00
14;Dubái, Emiratos Árabes Unidos;1500.00
15;Cairo, Egipto;900.00
16;Copenhague, Dinamarca;1300.00
17;Ámsterdam, Países Bajos;1200.00
18;Viena, Austria;1300.00
19;Berlín, Alemania;1200.00
20;Buenos Aires, Argentina;600.00
21;San Francisco, Estados Unidos;1200.00
22;Seúl, Corea del Sur;1500.00
23;Moscú, Rusia;1300.00
24;Oslo, Noruega;1400.00
25;Estocolmo, Suecia;1300.00
26;Praga, República Checa;1100.00
27;Varsovia, Polonia;1200.00
28;Budapest, Hungría;1200.00
29;Dublín, Irlanda;1300.00
30;Helsinki, Finlandia;1400.00
31;Singapur;1600.00
32;Kuala Lumpur, Malasia;1600.00
33;Sevilla, España;1200.00
34;Venecia, Italia;1100.00
35;Estambul, Turquía;1400.00
36;Ámsterdam, Países Bajos;1200.00
37;Río de Janeiro, Brasil;800.00
38;Bogotá, Colombia;800.00
